GuideBox_id,Rovi_id,movie_name,release_year,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping
113243,1012384834,Jake's Road,2014,855997,855997,,,,,,Pass,Pass
113244,1149620071,The Mirror,2015,864592,864592,,,,,,Pass,Pass
113248,642749683,Police Maman,2013,829808,829808,,,,,,Pass,Pass
113250,564365552,House of Last Things,2013,822714,822714,,,,,,Pass,Pass
113252,1077221547,The Desert Fish,2013,987268,987268,,,,,,Pass,Pass
113258,1074382,Blades,1989,585494,585494,,,,,,Pass,Pass
113259,1081934,Blood Hook,1987,186062,186062,,,,,,Pass,Pass
113263,1070353,Once You Kiss a Stranger,1969,583238,583238,,,,,,Pass,Pass
113275,865745564,A Girl Walks Home Alone At Night,2014,139161,139161,,,,,,Pass,Pass
113318,1163895995,Still Alice,2014,128261,128261,,,,,,Pass,Pass
113322,650779372,The Devil's Violinist,2013,123655,123655,,,,,,Pass,Pass
113323,293980827,Montana Amazon,2013,795083,795083,,,,,,Pass,Pass
113327,1418809097,A Mouse Tale,2015,280326,280326,,,,,,Pass,Pass
113328,6614738295,Dil Vil Pyaar Vyaar,2014,1080305,1080305,,,,,,Pass,Pass
113329,865745702,Kumiko the Treasure Hunter,2014,846885,846885,,,,,,Pass,Pass
113331,331292051,Wild Card,2015,126014,126014,,,,,,Pass,Pass
113334,1017127138,Kill Dil,2014,856240,856240,,,,,,Pass,Pass
113337,1348403984,Alien Outpost,2014,882499,869449,"[{'source_projectx_id_mapped': 'rovi_id:1220658249,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":456,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '113337'}]","[{'rovi_projectx_id_mapped': 'rovi_id:1348403984,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":27,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",True,,False,Fail,Fail
113339,1370645862,Supremacy,2014,144943,144943,,,,,,Pass,Pass
113348,865745548,Drunktown's Finest,2014,846874,846874,,,,,,Pass,Pass
113351,734906123,Green Street Hooligans: Underground,2013,253291,253291,,,,,,Pass,Pass
113354,371374642,Intersections,2013,[808607],Nil,,,,,,source_id not ingested,Fail
113370,455754,Conrack,1974,570155,570155,,,,,,Pass,Pass
113380,872706433,Project Almanac,2015,114044,114044,,,,,,Pass,Pass
