GuideBox_id,Rovi_id,movie_name,release_year,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping,hulu_id_present,vudu_id_present
512,451604,A League of Their Own,1992,54839,54839,,,,,,Pass,Pass,,
515,424928,The Grifters,1990,61041,61041,,,,,,Pass,Pass,,
519,1000549697,His Girl Friday,1940,49920,49920,,,,,,Pass,Pass,,
531,470238,Children of the Corn,1984,78199,78199,,,,,,Pass,Pass,,
544,1289101,Billy Elliot,2000,91778,91778,,,,,,Pass,Pass,,
546,1345837,Songcatcher,2001,613234,613234,,,,,,Pass,Pass,,
548,425489,Fluke,1995,59882,59882,,,,,,Pass,Pass,,
569,1070229,Murder!,1930,583149,583149,,,,,,Pass,Pass,,
570,426271,The Mouse on the Moon,1963,108946,108946,,,,,,Pass,Pass,,
572,424296,Men of War,1994,566926,566926,,,,,,Pass,Pass,,
581,437150,White Christmas,1954,64241,64241,,,,,,Pass,Pass,,
583,1066974,Planes Trains and Automobiles,1987,56520,56520,,,,,,Pass,Pass,,
585,424977,Talk Radio,1988,63883,63883,,,,,,Pass,Pass,,
586,1180521,Bedrooms and Hallways,1998,93627,93627,,,,,,Pass,Pass,,
587,2297330,Stiff Upper Lips,1998,86702,86702,,,,,,Pass,Pass,,
589,28367,Female Vampire,1973,508251,508251,,,,,,Pass,Pass,,
590,1230014,Casper's Haunted Christmas,2000,4173,4173,,,,,,Pass,Pass,,
591,1264207,The Land Before Time VII: Stone of Cold Fire,2000,3254,3254,,,,,,Pass,Pass,,
598,1272232,The Collectors,1999,608948,608948,,,,,,Pass,Pass,,
601,1269667,The Original Kings of Comedy,2000,608742,608742,,,,,,Pass,Pass,,
603,429751,Rosemary's Baby,1968,82054,82054,,,,,,Pass,Pass,,
611,461061,Slugs,1988,570849,570849,,,,,,Pass,Pass,,
629,1242729,Beowulf,1999,6352,6352,,,,,,Pass,Pass,,
632,430330,Dillinger,1973,172467,172467,,,,,,Pass,Pass,,
643,435638,The Dead Zone,1983,54546,54546,,,,,,Pass,Pass,,
654,982878535,The Naked Gun 2 1/2: The Smell of Fear,1991,51142,51142,,,,,,Pass,Pass,,
655,982878479,Naked Gun 33 1/3: The Final Insult,1994,70150,70150,,,,,,Pass,Pass,,
662,1077211,Abbott & Costello Meet Frankenstein,1948,73271,73271,,,,,,Pass,Pass,,
668,462678,Tales of Terror,1962,71451,71451,,,,,,Pass,Pass,,
699,982878504,Clue,1985,55373,55373,,,,,,Pass,Pass,,
700,1139248,Thick as Thieves,1999,68569,68569,,,,,,Pass,Pass,,
707,1078794,You Only Live Twice,1967,62390,62390,,,,,,Pass,Pass,,
714,1245997,East Is East,1999,77717,77717,,,,,,Pass,Pass,,
721,1243177,Scary Movie,2000,64697,64697,,,,,,Pass,Pass,,
722,470341,Funny Face,1957,77393,77393,,,,,,Pass,Pass,,
724,1247597,The War Zone,1999,100221,100221,,,,,,Pass,Pass,,
729,1217014,Diamonds,1999,57061,57061,,,,,,Pass,Pass,,
733,4324,The Architecture of Doom,1989,502488,502488,,,,,,Pass,Pass,,
736,1252898,Committed,2000,95298,95298,,,,,,Pass,Pass,,
740,429955,Romeo & Juliet,1968,57494,57494,,,,,,Pass,Pass,,
749,429516,Barton Fink,1991,134963,134963,,,,,,Pass,Pass,,
752,1231479,Titan A.E.,2000,78412,78412,,,,,,Pass,Pass,,
754,428338,My Chauffeur,1986,124206,124206,,,,,,Pass,Pass,,
758,422607,Dead Man,1995,73088,73088,,,,,,Pass,Pass,,
763,472713,Man of La Mancha,1972,144749,144749,,,,,,Pass,Pass,,
767,454686,Phaedra,1962,73077,73077,,,,,,Pass,Pass,,
770,451171,Jackie Brown,1997,52656,52656,,,,,,Pass,Pass,,
775,435973,She Done Him Wrong,1933,568187,568187,,,,,,Pass,Pass,,
777,453265,The Hospital,1971,104584,104584,,,,,,Pass,Pass,,
780,1074810,Strategic Air Command,1955,153293,153293,,,,,,Pass,Pass,,
