Vudu_id,Rovi_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,variant_present,Comment,Result of mapping
9250,452924,51161,51161,,,,,,Pass,Pass
9251,1131250,56377,56377,,,,,,Pass,Pass
9252,440052,54148,54148,,,,,,Pass,Pass
9253,1116575,60921,60921,,,,,,Pass,Pass
9254,19917885,21446,21446,,,,,,Pass,Pass
9255,471045,62892,62892,,,,,,Pass,Pass
9258,1107641,54798,54798,,,,,,Pass,Pass
9259,422990,52730,52730,,,,,,Pass,Pass
9261,422708,56406,56406,,,,,,Pass,Pass
9262,1089632,59348,59348,,,,,,Pass,Pass
9263,459520,115975,115975,,,,,,Pass,Pass
9264,49002,513494,513494,,,,,,Pass,Pass
9265,1065153,55469,55469,,,,,,Pass,Pass
9267,430081,83859,83859,,,,,,Pass,Pass
9268,433329,59113,59113,,,,,,Pass,Pass
9269,1080239,85596,85596,,,,,,Pass,Pass
9270,82587,40549,40549,,,,,,Pass,Pass
9271,425004,53075,53075,,,,,,Pass,Pass
9272,452928,56851,56851,,,,,,Pass,Pass
9273,436346,568281,568281,,,,,,Pass,Pass
9274,225524,302698,58011,"[{'302698': 'rovi_id:466662,Map_reason:{""titleMapType"":""Partial"",""titleScore"":0.6,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":24,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '9274,Map_reason:{""color"":0.0,""language"":0.0,""credits"":1.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":0.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":1.0,""run_time"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0}'}]","[{'302698': 'rovi_id:225524,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":980,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '678826,Map_reason:{""color"":0.0,""language"":0.0,""credits"":0.0,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":0.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":0.0,""run_time"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0}'}]",True,True,False,Fail,Fail
9275,459273,71545,71545,,,,,,Pass,Pass
9276,1076670,586958,12973351,"[{'source_id': '9276,Map_reason:{""color"":1,""language"":0,""credits"":1.0,""directors"":0,""part_names"":0,""episode_titles"":0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":0,""directors_missing"":1,""part_names_missing"":1,""release_year"":1,""run_time"":0,""release_year_diff"":0,""release_year_missing"":0,""run_time_diff"":18,""run_time_missing"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:12973351"",""id_2"":""vudu:9276"",""score"":3.4}'}]","[{'586958': 'rovi_id:1076670,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":true,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":224,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}]",,,False,Fail,Fail
9277,1137717,53386,53386,,,,,,Pass,Pass
9278,1128335,59067,59067,,,,,,Pass,Pass
9279,1137688,80275,80275,,,,,,Pass,Pass
9280,424501,78338,78338,,,,,,Pass,Pass
9281,1137712,57010,57010,,,,,,Pass,Pass
9284,20086847,54527,54527,,,,,,Pass,Pass
9285,457660,65430,65430,,,,,,Pass,Pass
9287,462691,[73110],[57279],"[{'73110': 'rovi_id:1178254,Map_reason:{""titleMapType"":""Distance"",""titleScore"":0.8095238095238095,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":6,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '9332,Map_reason:{""color"":0.0,""language"":0.0,""credits"":0.8888888889,""directors"":1.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":0.0,""directors_missing"":0.0,""part_names_missing"":1.0,""release_year"":1.0,""run_time"":0.0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1.0}'}]","[{'73110': 'rovi_id:462691,Map_reason:{""titleMapType"":""Exact"",""titleScore"":1.0,""releaseDateMatch"":false,""airDateMatch"":false,""ottMatch"":0.0,""creditCount"":176,""totalScore"":0.0,""LanguageMatch"":true,""creditWeight"":0.5}'}, {'source_id': '358705,Map_reason:{""color"":0.0,""language"":0.0,""credits"":0.875,""directors"":0.0,""part_names"":0.0,""episode_titles"":0.0,""genres"":0.0,""amazon"":0.0,""netflix"":0.0,""hulu"":0.0,""hbo"":0.0,""showtime"":0.0,""vudu"":0.0,""episode_airdates"":0.0,""season_count"":0.0,""genres_missing"":1.0,""credits_missing"":0.0,""directors_missing"":1.0,""part_names_missing"":1.0,""release_year"":1.0,""run_time"":0.0,""release_year_diff"":0.0,""release_year_missing"":0.0,""run_time_diff"":42.0,""run_time_missing"":0.0,""levenshtein_titles"":0.6666666667,""cosine_titles"":0.7803989726,""partial_titles"":1.0,""score"":2.7845656392}'}]",True,True,False,Fail,Fail
9288,429709,54166,54166,,,,,,Pass,Pass
9289,1146404,54950,54950,,,,,,Pass,Pass
9293,422705,54303,54303,,,,,,Pass,Pass
9294,422743,50933,50933,,,,,,Pass,Pass
9295,988708170,59802,59802,,,,,,Pass,Pass
9296,1063797,56444,56444,,,,,,Pass,Pass
9297,423058,80928,80928,,,,,,Pass,Pass
9299,426502,68080,68080,,,,,,Pass,Pass
9301,430512,97027,97027,,,,,,Pass,Pass
9302,1064550,76910,76910,,,,,,Pass,Pass
9303,454426,49817,49817,,,,,,Pass,Pass
9304,446862,97144,97144,,,,,,Pass,Pass
9306,425490,78125,78125,,,,,,Pass,Pass
9307,429200,80401,80401,,,,,,Pass,Pass
9308,447703,54181,54181,,,,,,Pass,Pass
