source,sm_id,id,show_type,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id_count for duplicate,Hulu_id count for duplicate,Mapped rovi_id for duplicate,Mapped gb_id for duplicate,Mapped Hulu_id for duplicate,variant parent id present,variant_parent_id,link_fetched_from,Sources of link
Hulu,155125,1875,155125,,The Outer Limits - Original,,1963,FALSE,[4031973],,,,"('No multiple ids for this link', 155125, 1875)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,151957,2465,151957,,10 Things I Hate About You,,2009,FALSE,[3012682],,,,"('No multiple ids for this link', 151957, 2465)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,151874,4370,[],,Full Metal Panic? Fumoffu,,2003,FALSE,"[13270589, 5266068]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,141014,4002,141014,,Baka and Test: Summon the Beasts,,2010,FALSE,[13433574],,,,"('No multiple ids for this link', 141014, 4002)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,140512,2069,140512,,Kingdom,,2007,FALSE,[3114777],,,,"('No multiple ids for this link', 140512, 2069)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,139653,3663,139653,,The Prince of Tennis,,2001,FALSE,[3074440],,,,"('No multiple ids for this link', 139653, 3663)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,137832,3281,137832,,Inuyasha - The Final Act,,2009,FALSE,[7960726],,,,"('No multiple ids for this link', 137832, 3281)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,136713,4081,136713,,Tower of Druaga: The Sword of Uruk,,2009,FALSE,[8397839],,,,"('No multiple ids for this link', 136713, 4081)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,136636,3968,[],,Tower of Druaga: The Aegis of Uruk,,2008,FALSE,"[13424764, 14412257]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
Hulu,136587,4075,136587,,Witchblade,,2006,FALSE,[4151427],,,,"('No multiple ids for this link', 136587, 4075)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,134999,93,134999,,Scrubs,,2001,FALSE,[3012285],,,,"('No multiple ids for this link', 134999, 93)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,134845,4037,134845,,Last Exile,,2003,FALSE,[2933169],,,,"('No multiple ids for this link', 134845, 4037)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,133914,4024,133914,,The Wallflower,,2006,FALSE,[8366838],,,,"('No multiple ids for this link', 133914, 4024)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,133612,3969,133612,,Dragonaut: The Resonance,,2007,FALSE,[7499279],,,,"('No multiple ids for this link', 133612, 3969)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,130530,3952,130530,,Sekirei,,2008,FALSE,[7502956],,,,"('No multiple ids for this link', 130530, 3952)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,129469,189,129469,,Outer Limits,,1995,FALSE,[3253872],,,,"('No multiple ids for this link', 129469, 189)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,128986,3905,128986,,Nabari no Ou,,2008,FALSE,[6110164],,,,"('No multiple ids for this link', 128986, 3905)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,128925,3903,128925,,Devil May Cry,,2007,FALSE,[7147064],,,,"('No multiple ids for this link', 128925, 3903)",No multiple ids for this link,,,,,,,,,,,,,
Hulu,128868,3902,128868,,Samurai Champloo,,2004,FALSE,[14412464],,,,"('No multiple ids for this link', 128868, 3902)",No multiple ids for this link,,,,,,,,,,,,,
