GuideBox_sm_id,Rovi_sm_id,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping series
36079,1098294082,3764486,3764486,,,,,,Pass,Pass
36080,1654261386,3987459,13224659,[{'sourceId': '36080'}],"[{'rovi_projectx_id_mapped': 'rovi_id:1654261386,Map_reason:not found in projectx'}]",,,False,Fail,Fail
29183,379854478,3369618,3369618,,,,,,Pass,Pass
32625,1382738994,9289923,9289923,,,,,,Pass,Pass
18046,1949895565,6916047,6916047,,,,,,Pass,Pass
36090,4815293403,6894927,6894927,,,,,,Pass,Pass
36091,1533555049,9420801,9420801,,,,,,Pass,Pass
22672,687769896,8410889,8410889,,,,,,Pass,Pass
36102,1702821005,9483484,9483484,,,,,,Pass,Pass
16248,1681025486,9468319,9468319,,,,,,Pass,Pass
29454,477897343,8162866,8162866,,,,,,Pass,Pass
36034,1270810717,9131727,9131727,,,,,,Pass,Pass
36035,1283276685,9152426,9152426,,,,,,Pass,Pass
36036,990857177,8812470,8812470,,,,,,Pass,Pass
23723,20008729,10467093,10467093,,,,,,Pass,Pass
930,1208841620,4012235,4012235,,,,,,Pass,Pass
36048,18858231,3269826,3269826,,,,,,Pass,Pass
36049,689027896,8285232,8285232,,,,,,Pass,Pass
36038,10004633,5511961,5511961,,,,,,Pass,Pass
36039,3895672985,10459221,13224719,[{'sourceId': '36039'}],"[{'rovi_projectx_id_mapped': 'rovi_id:3895672985,Map_reason:not found in projectx'}]",,,False,Fail,Fail
36052,1149163593,3980290,3980290,,,,,,Pass,Pass
36053,1357094537,10182402,10182402,,,,,,Pass,Pass
25147,1078239092,3797690,3797690,,,,,,Pass,Pass
36059,1895627666,9983797,9983797,,,,,,Pass,Pass
36023,1276980477,9138549,9138549,,,,,,Pass,Pass
27673,1046915883,3798637,3798637,,,,,,Pass,Pass
36064,2287375,2982933,2982933,,,,,,Pass,Pass
35914,1496598778,9389770,9389770,,,,,,Pass,Pass
36335,2005881693,10081350,10081350,,,,,,Pass,Pass
33760,1750046492,9506378,9506378,,,,,,Pass,Pass
36390,1536665933,9424403,9424403,,,,,,Pass,Pass
36382,1980459962,10068984,10068984,,,,,,Pass,Pass
36383,1980460886,10069112,10069112,,,,,,Pass,Pass
