Hulu_sm_id,Rovi_sm_id,projectx_id_rovi,projectx_id_Hulu,Dev_Hulu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Hulu_id_present,variant_present,Comment,Result of mapping series
27402,1053487330,3972611,3972611,,,,,,Pass,Pass
8971,12416270,2991125,2991125,,,,,,Pass,Pass
39791,6048860312,11557983,11557983,,,,,,Pass,Pass
18315,1034922923,3877446,3877446,,,,,,Pass,Pass
148,1808332,3031718,3031718,,,,,,Pass,Pass
40452,6278188013,11625556,11625556,,,,,,Pass,Pass
32325,1509549718,3569832,3569832,,,,,,Pass,Pass
2163,1783272,3055128,3055128,,,,,,Pass,Pass
40954,6363757302,11653645,11653645,,,,,,Pass,Pass
34334,1748341669,3898673,3898673,,,,,,Pass,Pass
150,2228037,3008441,3008441,,,,,,Pass,Pass
38570,3388593113,10307309,10307309,,,,,,Pass,Pass
31163,4418226151,10274348,10274348,,,,,,Pass,Pass
26440,2003648894,10076731,10076731,,,,,,Pass,Pass
41594,6266988596,11622569,11622569,,,,,,Pass,Pass
66,425355,12258571,12258571,,,,,,Pass,Pass
42746,6834589992,12318795,12318795,,,,,,Pass,Pass
24192,1460764233,3910187,3910187,,,,,,Pass,Pass
42522,6958432941,12913760,12913760,,,,,,Pass,Pass
40931,6090076954,11568756,11568756,,,,,,Pass,Pass
404,2280424,2993501,2993501,,,,,,Pass,Pass
43255,6875343947,12384625,12384625,,,,,,Pass,Pass
2467,394845,4159570,4159570,,,,,,Pass,Pass
4638,971058,2913284,2913284,,,,,,Pass,Pass
41106,6126145627,11578469,11578469,,,,,,Pass,Pass
42690,6797614545,11785509,11785509,,,,,,Pass,Pass
42691,1509238735,9398770,13024262,"[{'source_id': '42691,Map_reason:{""color"":1,""language"":1,""credits"":0,""directors"":0,""part_names"":0,""episode_titles"":1.0,""genres"":0,""amazon"":0,""netflix"":0,""hulu"":0,""hbo"":0,""showtime"":0,""vudu"":0,""episode_airdates"":0,""season_count"":0,""genres_missing"":1,""credits_missing"":1,""directors_missing"":1,""part_names_missing"":1,""release_year"":1.0,""run_time"":0,""levenshtein_titles"":1.0,""cosine_titles"":1.0,""partial_titles"":1,""id_1"":""projectx:13024262"",""id_2"":""hulu:42691"",""score"":4.2}'}]","[{'9398770': 'rovi_id:1509238735,Map_reason:not found in projectx'}]",,,False,Fail,Fail
33768,1830515077,9926242,9926242,,,,,,Pass,Pass
30270,3960105000,3967108,3967108,,,,,,Pass,Pass
28410,3543112159,3920621,3920621,,,,,,Pass,Pass
512,425957,2736794,2736794,,,,,,Pass,Pass
4289,432465,2955156,2955156,,,,,,Pass,Pass
32868,3357338508,10293181,10293181,,,,,,Pass,Pass
34676,1344536711,3788409,3788409,,,,,,Pass,Pass
